id,line,route_id,vehicle_type,bearing,delay,longitude,latitude,last_update
2017,78,4023,2,270,1,16.644028,49.132225,2025-03-09T07:51:29.706Z
21876,201,209,4,45,4,16.656651,49.210861,2025-03-09T07:51:29.706Z
1710,8,4028,0,45,0,16.585743,49.171833,2025-03-09T07:51:29.706Z
7055,64,4015,2,270,1,16.630713,49.190926,2025-03-09T07:51:29.706Z
30350,R8,1104,5,270,2,16.801079,49.164452,2025-03-09T07:51:29.707Z
1844,7,4005,0,180,0,16.622875,49.226425,2025-03-09T07:51:29.707Z
7105,67,4015,2,180,1,16.621607,49.177353,2025-03-09T07:51:29.707Z
7715,54,4016,2,225,1,16.515732,49.217365,2025-03-09T07:51:29.707Z
7114,67,4016,2,0,2,16.621786,49.179379,2025-03-09T07:51:29.707Z
21293,201,211,4,0,0,16.635727,49.202053,2025-03-09T07:51:29.707Z
21258,109,603,4,135,0,16.794992,49.032394,2025-03-09T07:51:29.707Z
3634,31,4018,1,135,0,16.701082,49.173584,2025-03-09T07:51:29.707Z
21884,803,308,4,45,0,16.080256,48.8503,2025-03-09T07:51:29.707Z
1921,12,3025,0,180,0,16.603695,49.196396,2025-03-09T07:51:29.707Z
1910,2,4024,0,45,0,16.612598,49.191463,2025-03-09T07:51:29.707Z
21523,402,206,4,135,2,16.397516,49.237411,2025-03-09T07:51:29.707Z
1715,8,4031,0,225,0,16.611938,49.191074,2025-03-09T07:51:29.707Z
1847,7,4004,0,225,0,16.553865,49.171841,2025-03-09T07:51:29.706Z
2022,50,4021,2,180,0,16.530884,49.227684,2025-03-09T07:51:29.706Z
21856,262,203,4,0,5,16.766562,49.523159,2025-03-09T07:51:29.707Z
1946,6,4020,0,90,2,16.602783,49.192211,2025-03-09T07:51:29.707Z
7060,58,4008,2,45,2,16.661327,49.197834,2025-03-09T07:51:29.707Z
21019,106,203,4,135,2,16.943439,49.068554,2025-03-09T07:51:29.707Z
31023,S2,4719,5,0,0,16.571089,49.555679,2025-03-09T07:51:29.707Z
7530,65,4005,2,225,0,16.582373,49.253418,2025-03-09T07:51:29.707Z
2043,84,4017,2,45,0,16.55769,49.2104,2025-03-09T07:51:29.704Z
21192,662,203,4,270,0,17.113363,49.00729,2025-03-09T07:51:29.705Z
21683,420,304,4,45,0,16.265106,49.247211,2025-03-09T07:51:29.704Z
7702,41,4055,2,90,3,16.578197,49.260017,2025-03-09T07:51:29.705Z
1906,3,4020,0,90,0,16.625488,49.203648,2025-03-09T07:51:29.705Z
3663,27,4302,1,270,0,16.673325,49.202408,2025-03-09T07:51:29.705Z
1809,2,4027,0,270,1,16.622314,49.198895,2025-03-09T07:51:29.705Z
2033,50,4017,2,135,0,16.53199,49.196217,2025-03-09T07:51:29.705Z
2672,78,4022,2,0,0,16.637028,49.139248,2025-03-09T07:51:29.705Z
3672,25,4017,1,45,1,16.567049,49.193417,2025-03-09T07:51:29.705Z
21291,151,308,4,315,0,16.725445,49.168571,2025-03-09T07:51:29.705Z
21271,701,315,4,90,4,16.638531,49.189335,2025-03-09T07:51:29.705Z
1807,5,4508,0,45,1,16.611418,49.200268,2025-03-09T07:51:29.705Z
1908,12,3026,0,0,1,16.621134,49.180225,2025-03-09T07:51:29.705Z
1856,4,4023,0,225,0,16.607634,49.198551,2025-03-09T07:51:29.705Z
30080,S4,4806,5,180,1,16.606806,49.166111,2025-03-09T07:51:29.705Z
3327,30,4014,1,180,1,16.604557,49.226685,2025-03-09T07:51:29.705Z
1915,12,3022,0,315,0,16.585287,49.221336,2025-03-09T07:51:29.705Z
7081,75,4008,2,180,1,16.648779,49.22871,2025-03-09T07:51:29.706Z
1112,1,4024,0,0,1,16.607821,49.200417,2025-03-09T07:51:29.706Z
21448,OLY,305,4,315,1,16.629698,49.16613,2025-03-09T07:51:29.706Z
7096,64,4017,2,135,0,16.657309,49.220516,2025-03-09T07:51:29.707Z
21611,812,221,4,315,0,16.081055,48.965286,2025-03-09T07:51:29.707Z
3629,33,4009,1,225,0,16.613396,49.192017,2025-03-09T07:51:29.707Z
7071,75,4007,2,45,3,16.642008,49.20232,2025-03-09T07:51:29.707Z
7731,57,4019,2,180,0,16.622421,49.256306,2025-03-09T07:51:29.707Z
21765,602,351,4,225,1,16.616402,49.185333,2025-03-09T07:51:29.708Z
7725,41,4004,2,180,0,16.573088,49.24081,2025-03-09T07:51:29.708Z
1763,8,4035,0,270,0,16.692326,49.207298,2025-03-09T07:51:29.708Z
31026,S2,4717,5,225,0,16.644289,49.211681,2025-03-09T07:51:29.708Z
1939,12,3023,0,180,0,16.619572,49.182804,2025-03-09T07:51:29.708Z
21329,810,222,4,225,1,16.203133,48.892349,2025-03-09T07:51:29.708Z
1831,1,4026,0,135,1,16.594824,49.188942,2025-03-09T07:51:29.708Z
21118,911,203,4,45,2,17.26244,48.872543,2025-03-09T07:51:29.705Z
3620,26,4009,1,0,1,16.592709,49.201504,2025-03-09T07:51:29.708Z
21520,104,252,4,90,0,16.520433,48.980865,2025-03-09T07:51:29.708Z
21880,156,204,4,225,0,17.001362,49.148098,2025-03-09T07:51:29.708Z
21278,671,130,4,270,1,17.130989,49.019558,2025-03-09T07:51:29.708Z
7112,67,4017,2,0,1,16.6073,49.217831,2025-03-09T07:51:29.708Z
21058,273,202,4,0,15,16.57065,49.558022,2025-03-09T07:51:29.708Z
7683,x49,4010,2,90,3,16.621567,49.166348,2025-03-09T07:51:29.706Z
7714,52,4016,2,135,0,16.531601,49.227882,2025-03-09T07:51:29.706Z
30034,S71,3812,5,270,0,17.063009,49.291737,2025-03-09T07:51:29.706Z
7089,40,4007,2,135,1,16.632187,49.164284,2025-03-09T07:51:29.706Z
30248,R11,668,5,135,0,16.064333,49.223,2025-03-09T07:51:29.706Z
3678,31,4020,1,90,1,16.648243,49.187119,2025-03-09T07:51:29.706Z
30084,S6,1761,5,90,5,17.220299,48.976517,2025-03-09T07:51:29.706Z
30241,S31,14903,5,135,7,16.417463,49.3475,2025-03-09T07:51:29.706Z
30160,S6,4113,5,45,2,16.872288,49.144562,2025-03-09T07:51:29.707Z
7529,68,4004,2,270,1,16.564062,49.19297,2025-03-09T07:51:29.707Z
